广东省乡镇机关2025年考试录用公务员职位表,,,,,,,,,,,,,,
"配套
措施","1.广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆等9市新录用乡镇公务员在乡镇机关最低服务年限为5年；
2.汕头、韶关、河源、梅州、汕尾、阳江、湛江、茂名、清远、潮州、揭阳、云浮等12市新录用乡镇公务员在职位所在县（市、区）的乡镇机关最低服务年限为5年。",,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否限应届毕业生报考,其他要求,考区
广州市越秀区人民政府黄花岗街道办事处,6010060,经济发展办公室二级主任科员以下,60100602559001 ,从事招商引资、为企服务、统计等工作,综合管理类职位,1,本科以上,学士以上,"应用经济学(A0202),工商管理(A1202)","经济学类(B0201),经济与贸易类(B0204),会计学(B120203)",,2025届高校毕业生,,广州
广州市越秀区人民政府黄花岗街道办事处,6010060,公共服务办公室二级主任科员以下,60100602559002 ,从事公共管理服务工作,综合管理类职位,1,本科以上,学士以上,"法学(A0301),社会学(A0303),公共管理(A1204)","法学类(B0301),社会学类(B0303),公共管理类(B1204)",,否,,广州
广州市越秀区人民政府黄花岗街道办事处,6010060,综合行政执法队二级主办以下,60100602560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科以上,学士以上,"测绘科学与技术(A0816),环境科学与工程(A0830),管理科学与工程(A1201)","测绘类(B0813),环境科学与工程类(B0826),管理科学与工程类(B1201)",,否,,广州
广州市越秀区人民政府华乐街道办事处,6010061,党政和人大办公室一级科员,60100612559001 ,从事党政和人大工作,综合管理类职位,1,本科,学士,,"哲学(B01),法学类(B0301),心理学类(B0712),计算机类(B0809)",,2025届高校毕业生,,广州
广州市越秀区人民政府华乐街道办事处,6010061,综合行政执法队一级行政执法员,60100612560001 ,从事基层一线综合行政执法工作,行政执法类职位,2,本科,学士,,"新闻传播学类(B0503),建筑类(B0810),土木类(B0811)",,否,,广州
广州市越秀区人民政府建设街道办事处,6010062,经济发展办公室二级主任科员以下,60100622559001 ,从事经济发展、统计等工作,综合管理类职位,1,本科以上,学士以上,"应用经济学(A0202),会计学(A120201),会计硕士（专业硕士）(A120206)","经济学类(B0201),统计学类(B0711),会计学(B120203),财务管理(B120204)",,否,,广州
广州市越秀区人民政府建设街道办事处,6010062,平安法治办公室二级主任科员以下,60100622559002 ,从事平安建设、综合治理、信访维稳等工作,综合管理类职位,1,本科以上,学士以上,"机械工程(A0802),电子科学与技术(A0809),安全科学与工程(A0837)","机械类(B0802),电子信息类(B0807),安全科学与工程类(B0830)",,否,,广州
广州市越秀区人民政府建设街道办事处,6010062,综合行政执法队二级主办以下,60100622560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科以上,学士以上,"法学(A0301),新闻传播学(A0503),工程管理硕士（专业硕士）(A120102)","法学类(B0301),新闻传播学类(B0503),工程管理(B120103),工程造价(B120105)",,否,,广州
广州市越秀区人民政府大塘街道办事处,6010063,综合行政执法队一级行政执法员,60100632560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科,学士,,"法学(B030101),机械工程(B080201),建筑类(B0810),工商管理类(B1202)",,否,,广州
广州市越秀区人民政府珠光街道办事处,6010064,公共服务办公室二级主任科员以下,60100642559001 ,从事公共服务、民政事务及行政文书等工作,综合管理类职位,1,本科以上,学士以上,"新闻传播学(A0503),公共管理(A1204)","新闻传播学类(B0503),公共管理类(B1204)",,否,,广州
