广东省乡镇机关2025年考试录用公务员职位表,,,,,,,,,,,,,,
"配套
措施","1.广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆等9市新录用乡镇公务员在乡镇机关最低服务年限为5年；
2.汕头、韶关、河源、梅州、汕尾、阳江、湛江、茂名、清远、潮州、揭阳、云浮等12市新录用乡镇公务员在职位所在县（市、区）的乡镇机关最低服务年限为5年。",,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否限应届毕业生报考,其他要求,考区
深圳市龙华区民治街道办事处,6020070,应急管理办公室二级主任科员以下,60200702559004 ,从事安全生产等工作,综合管理类职位,2,本科以上,学士以上,"电气工程(A0808),计算机科学与技术(A0812),安全科学与工程(A0837),计算机技术硕士（专业硕士）(A084004),安全工程硕士（专业硕士）(A084202),电气工程硕士（专业硕士）(A084301)","电气工程及其自动化(B080601),计算机科学与技术(B080901),安全科学与工程类(B0830)",,否,,深圳
深圳市龙华区民治街道办事处,6020070,综合行政执法队执法二中队二级主办以下,60200702560001 ,从事综合执法等工作,行政执法类职位,1,本科以上,学士以上,"法学(A0301),人文地理学(A070502),建筑学(A0813),测绘科学与技术(A0816),城乡规划学(A0833),测绘工程硕士（专业硕士）(A084204)","法学(B030101),人文地理与城乡规划(B070503),建筑类(B0810),测绘类(B0813)",,否,,深圳
深圳市龙华区龙华街道办事处,6020071,党政和人大办公室一级科员,60200712559001 ,从事材料写作、综合调研等工作,综合管理类职位,1,本科以上,学士以上,"中国语言文学(A0501),新闻传播学(A0503),历史学(A06)","中国语言文学类(B0501),新闻传播学类(B0503),历史学(B06)",,应届毕业生,中共党员,深圳
深圳市龙华区龙华街道办事处,6020071,党建和组织人事办公室一级科员,60200712559002 ,从事综合调研、基层党建等工作,综合管理类职位,1,本科以上,学士以上,"哲学(A01),政治学(A0302),中国语言文学(A0501)","哲学(B01),政治学类(B0302),中国语言文学类(B0501)",,应届毕业生,中共党员,深圳
深圳市龙华区龙华街道办事处,6020071,城市建设办公室一级科员,60200712559003 ,从事工程管理、项目建设管理等工作,综合管理类职位,1,本科以上,学士以上,"建筑学(A0813),土木工程(A0814),土木工程硕士（专业硕士）(A084401),管理科学与工程(A1201)","建筑类(B0810),土木类(B0811),管理科学与工程类(B1201)",,否,,深圳
深圳市龙华区龙华街道办事处,6020071,公共服务办公室一级科员,60200712559004 ,从事行政事务、综合调研、公共服务、劳动监察、劳动仲裁等工作,综合管理类职位,1,本科以上,学士以上,"法学(A0301),社会学(A0303),工商管理(A1202)","法学类(B0301),社会学类(B0303),工商管理类(B1202)",,否,男性,深圳
深圳市龙华区龙华街道办事处,6020071,公共服务办公室一级科员,60200712559005 ,从事行政事务、综合调研、公共服务、劳动监察、劳动仲裁等工作,综合管理类职位,1,本科以上,学士以上,"法学(A0301),社会学(A0303),工商管理(A1202)","法学类(B0301),社会学类(B0303),工商管理类(B1202)",,否,女性,深圳
深圳市龙华区观湖街道办事处,6020072,应急管理办公室一级科员,60200722559001 ,从事安全生产相关工作,综合管理类职位,1,本科以上,学士以上,"化学工程与技术(A0817),生物医学工程(A0831),生物医学工程硕士（专业硕士）(A084009),化学工程硕士（专业硕士）(A084102),制药工程硕士（专业硕士）(A084502)","化工与制药类(B0814),生物医学工程类(B0827)",,应届毕业生,,深圳
深圳市龙华区观湖街道办事处,6020072,城市建设办公室一级科员,60200722559002 ,从事城市规划、城市更新等工作,综合管理类职位,1,本科以上,学士以上,"建筑学(A0813),土木工程(A0814),测绘科学与技术(A0816),环境科学与工程(A0830),城乡规划学(A0833),风景园林学(A0834),环境工程硕士（专业硕士）(A084201),测绘工程硕士（专业硕士）(A084204),土木工程硕士（专业硕士）(A084401),土地资源管理(A120405)","建筑类(B0810),土木类(B0811),测绘类(B0813),环境科学与工程类(B0826),土地资源管理(B120404)",,否,,深圳
深圳市龙华区福城街道办事处,6020073,平安法治办公室（司法所）一级科员,60200732559001 ,从事基层治理、信访维稳等工作,综合管理类职位,1,本科以上,学士以上,"公安学(A0306),公安技术(A0838)","公安学类(B0306),公安技术类(B0831)",,否,,深圳
深圳市龙华区福城街道办事处,6020073,应急管理办公室一级科员,60200732559002 ,从事城市应急处置、安全生产和风险防控等工作,综合管理类职位,1,本科以上,学士以上,"电气工程(A0808),土木工程(A0814),安全科学与工程(A0837),安全工程硕士（专业硕士）(A084202),电气工程硕士（专业硕士）(A084301),土木工程硕士（专业硕士）(A084401)","电气类(B0806),土木类(B0811),安全工程(B083001),应急技术与管理(B083002)",,否,,深圳
深圳市龙华区福城街道办事处,6020073,应急管理办公室一级科员,60200732559003 ,从事消防安全工作,综合管理类职位,1,本科,学士,,"消防指挥(B030608),安全工程(B083001),应急技术与管理(B083002),消防工程(B083102),安全防范工程(B083104),抢险救援指挥与技术(B083106),火灾勘查(B083107)",,否,,深圳
深圳市龙华区大浪街道办事处,6020074,党建和组织人事办公室一级科员,60200742559001 ,从事基层党建、组织人事、综合材料撰写等相关工作,综合管理类职位,1,本科以上,学士以上,"哲学(A01),马克思主义理论(A0305),中国语言文学(A0501)","哲学(B01),马克思主义理论类(B0305),中国语言文学类(B0501)",,否,男性;中共党员,深圳
深圳市龙华区大浪街道办事处,6020074,党建和组织人事办公室一级科员,60200742559002 ,从事基层党建、组织人事、综合材料撰写等相关工作,综合管理类职位,1,本科以上,学士以上,"哲学(A01),马克思主义理论(A0305),中国语言文学(A0501)","哲学(B01),马克思主义理论类(B0305),中国语言文学类(B0501)",,否,女性;中共党员,深圳
深圳市龙华区大浪街道办事处,6020074,公共服务办公室一级科员,60200742559003 ,从事行政事务、综合调研、公共服务等工作,综合管理类职位,1,本科以上,学士以上,"法学(A0301),社会学(A0303),公共管理(A1204)","法学类(B0301),社会学类(B0303),公共管理类(B1204)",,应届毕业生,男性,深圳
深圳市龙华区大浪街道办事处,6020074,公共服务办公室一级科员,60200742559004 ,从事行政事务、综合调研、公共服务等工作,综合管理类职位,1,本科以上,学士以上,"法学(A0301),社会学(A0303),公共管理(A1204)","法学类(B0301),社会学类(B0303),公共管理类(B1204)",,应届毕业生,女性,深圳
深圳市龙华区大浪街道办事处,6020074,平安法治办公室（司法所）一级科员,60200742559005 ,从事信访维稳、交通安全管理等工作,综合管理类职位,1,大专以上,不限,不限,不限,不限,否,面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,深圳
深圳市龙华区大浪街道办事处,6020074,综合行政执法队综合事务和案审科一级行政执法员,60200742560001 ,从事执法案件审理等工作,行政执法类职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),法学(A0301)","法学类(B0301),审计学(B120207)",,否,,深圳
深圳市龙华区观澜街道办事处,6020075,应急管理办公室一级科员,60200752559001 ,从事应急执法、安全巡查等工作,综合管理类职位,2,本科以上,学士以上,不限,不限,,否,,深圳
深圳市龙华区观澜街道办事处,6020075,党政和人大办公室一级科员,60200752559002 ,从事财政支付、资金审计等工作,综合管理类职位,1,本科以上,学士以上,应用经济学(A0202),"财政学类(B0202),审计学(B120207)",,2025届高校毕业生,,深圳
深圳市龙华区观澜街道办事处,6020075,公共服务办公室一级科员,60200752559003 ,从事行政事务、劳动监察等工作,综合管理类职位,1,本科以上,学士以上,"法学(A0301),中国语言文学(A0501)","法学类(B0301),中国语言文学类(B0501)",,应届毕业生,,深圳
深圳市光明区新湖街道办事处,6020078,综合行政执法队二级主办以下,60200782560001 ,从事城市管理、安全生产等方面行政执法工作,行政执法类职位,1,研究生,硕士以上,"经济学(A02),法学(A03),文学(A05),理学(A07),工学(A08),管理学(A12)",,,否,,深圳
深圳市光明区凤凰街道办事处,6020079,平安法治办公室（司法所）四级主任科员,60200792559001 ,从事社会治安综合治理、平安建设、社区康复、禁毒宣传、信访调处工作,综合管理类职位,1,研究生,硕士以上,"公安学(A0306),安全科学与工程(A0837),公安技术(A0838),安全工程硕士（专业硕士）(A084202)",,,否,,深圳
深圳市光明区凤凰街道办事处,6020079,经济发展办公室四级主任科员,60200792559002 ,从事营商环境提升、招商引资、产业空间保障、科技创新服务等相关经济工作,综合管理类职位,1,研究生,硕士以上,应用经济学(A0202),,,2025届高校毕业生,,深圳
深圳市光明区玉塘街道办事处,6020080,平安法治办公室（司法所）二级主任科员以下,60200802559001 ,从事劳动信访、经济纠纷、社会综合治理等工作,综合管理类职位,1,本科以上,学士以上,"国际贸易学(A020206),应用心理学(A040203),应用心理硕士（专业硕士）(A040204),会计学(A120201),会计硕士（专业硕士）(A120206)","经济学(B020101),国际税收(B020203),国际经济与贸易(B020401),应用心理学(B071202)",,否,,深圳
深圳市光明区玉塘街道办事处,6020080,综合行政执法队二级主办以下,60200802560001 ,从事生态环境、卫生健康等领域综合行政执法工作,行政执法类职位,1,本科以上,学士以上,"化学工程(A081701),环境工程(A083002),化学工程硕士（专业硕士）(A084102),环境工程硕士（专业硕士）(A084201),营养与食品卫生学(A100403)","化学工程与工艺(B081401),环境工程(B082602),食品卫生与营养学(B100702)",,否,,深圳
深圳市光明区玉塘街道办事处,6020080,综合行政执法队一级行政执法员,60200802560002 ,从事辖区综合行政执法相关工作,行政执法类职位,1,大专以上,不限,不限,不限,不限,否,面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,深圳
深圳市光明区马田街道办事处,6020081,党政和人大办公室一级科员,60200812559001 ,从事审计、纪检监察等工作,综合管理类职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),法学(A0301)","法学类(B0301),审计学(B120207)",,应届毕业生,中共党员,深圳
深圳市大鹏新区南澳办事处,6020082,城市建设办公室四级主任科员,60200822559001 ,从事城市规划、土地管理等工作,综合管理类职位,1,研究生,硕士,"城市规划与设计(含∶风景园林规划与设计)(A081303),测绘科学与技术(A0816),土地资源管理(A120405)",,,应届毕业生,,深圳
深圳市大鹏新区南澳办事处,6020082,党政和人大办公室四级主任科员,60200822559002 ,从事综合管理、宣传等工作,综合管理类职位,1,研究生,硕士,"中国语言文学(A0501),新闻传播学(A0503)",,,2025届高校毕业生,,深圳
深圳市大鹏新区南澳办事处,6020082,城市建设办公室一级科员,60200822559003 ,从事城市建设、工程管理等工作,综合管理类职位,1,本科,学士,,"土木类(B0811),工程管理(B120103),工程造价(B120105)",,否,,深圳
深圳市大鹏新区南澳办事处,6020082,经济发展办公室一级科员,60200822559004 ,从事旅游资源规划、开发和发展等相关工作,综合管理类职位,1,本科,学士,,"工商管理类(B1202),公共事业管理(B120401),行政管理(B120402),旅游管理(B120901)",,否,,深圳
深圳市大鹏新区南澳办事处,6020082,应急管理办公室一级科员,60200822559005 ,"从事涉海安全管理工作;需夜间值班处理突发应急事件,适合男性",综合管理类职位,1,本科,学士,,"能源与环境系统工程(B080502),新能源科学与工程(B080503),水利类(B0812)",,应届毕业生,,深圳
深圳市大鹏新区南澳办事处,6020082,综合行政执法队二级主办以下,60200822560001 ,从事基层综合治理相关工作,行政执法类职位,1,大专以上,不限,不限,不限,不限,否,面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,深圳
深圳市大鹏新区大鹏办事处,6020083,公共服务办公室一级科员,60200832559001 ,从事社会工作、健康教育等工作,综合管理类职位,1,本科,学士,,心理学类(B0712),,否,,深圳
深圳市大鹏新区大鹏办事处,6020083,综合行政执法队一级行政执法员,60200832560001 ,从事综合行政执法工作,行政执法类职位,1,本科,学士,,不限,,2025届高校毕业生,,深圳
深圳市大鹏新区大鹏办事处,6020083,综合行政执法队一级行政执法员,60200832560002 ,从事综合行政执法工作,行政执法类职位,1,本科,学士,,法学类(B0301),,应届毕业生,,深圳
深圳市大鹏新区大鹏办事处,6020083,综合行政执法队一级行政执法员,60200832560003 ,"从事综合行政执法工作;基层一线执法岗位,需夜间值班处理突发应急事件,适合男性",行政执法类职位,1,本科,学士,,"建筑类(B0810),安全工程(B083001),工程管理(B120103),工程造价(B120105)",,应届毕业生,,深圳
深圳市大鹏新区大鹏办事处,6020083,综合行政执法队二级主办以下,60200832560004 ,从事综合行政执法工作,行政执法类职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,,深圳
深圳市大鹏新区葵涌办事处,6020084,党建和组织人事办公室一级科员,60200842559001 ,从事基层党建、行政管理、文字材料撰写等相关工作,综合管理类职位,1,本科以上,学士以上,"哲学(A01),法学(A0301),中国语言文学(A0501),外国语言文学(A0502),新闻传播学(A0503)","哲学(B01),法学类(B0301),汉语言文学(B050101),英语(B050201),新闻传播学类(B0503)",,否,中共党员,深圳
深圳市大鹏新区葵涌办事处,6020084,经济发展办公室一级科员,60200842559002 ,从事经济管理服务相关工作,综合管理类职位,1,本科以上,学士以上,"应用经济学(A0202),统计学(A0714),技术经济及管理(A120204),农林经济管理(A1203)","经济学类(B0201),金融学类(B0203),经济与贸易类(B0204),统计学类(B0711),市场营销(B120202),农业经济管理类(B1203),电子商务类(B1208),会展经济与管理(B120903)",,2025届高校毕业生,,深圳
深圳市大鹏新区葵涌办事处,6020084,平安法治办公室四级主任科员以下,60200842559003 ,从事信访调解、综治维稳等相关工作,综合管理类职位,1,本科以上,学士以上,公安学(A0306),公安学类(B0306),,否,,深圳
深圳市大鹏新区葵涌办事处,6020084,综合行政执法队四级主办以下,60200842560001 ,"从事涉海领域行政执法工作;基层一线执法岗位，需夜间值班处理突发应急事件,适合男性",行政执法类职位,1,本科以上,学士以上,"海洋科学(A0707),船舶与海洋工程(A0824),海洋工程硕士（专业硕士）(A084403)","海洋科学类(B0707),海洋油气工程(B081606),海洋工程类(B0820),海洋渔业科学与技术(B090602)",,应届毕业生,,深圳
深圳市大鹏新区葵涌办事处,6020084,综合行政执法队一级行政执法员,60200842560002 ,"从事基层综合行政执法工作;基层一线执法岗位，需夜间值班处理突发应急事件,适合男性",行政执法类职位,1,本科以上,学士以上,"电子科学与技术(A0809),信息与通信工程(A0810),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),电子信息(A0840),军事通信学(A110503)","电子信息类(B0807),计算机类(B0809),信息管理与信息系统(B120102),大数据管理与应用(B120107)",,应届毕业生,,深圳
深圳市深汕特别合作区鹅埠办事处,6020096,城乡建设和土地整备办公室一级科员,60200962559001 ,从事城市建设、工程管理工作,综合管理类职位,1,本科以上,学士以上,"建筑学(A0813),土木工程(A0814),土木工程硕士（专业硕士）(A084401)","建筑学(B081001),城乡规划(B081002),人居环境科学与技术(B081005),智慧建筑与建造(B081007),土木工程(B081101)",,否,,深圳
深圳市深汕特别合作区小漠办事处,6020097,党政综合办公室四级主任科员以下,60200972559001 ,从事会务、文字材料写作等日常事务性工作,综合管理类职位,1,本科以上,学士以上,"法学(A03),文学(A05),理学(A07),工学(A08),农学(A09),管理学(A12)","法学(B03),文学(B05),理学(B07),工学(B08),农学(B09),管理学(B12)",,否,,深圳
深圳市深汕特别合作区鲘门办事处,6020098,党政综合办公室四级主任科员,60200982559001 ,从事党建、综合管理相关工作,综合管理类职位,1,研究生,硕士以上,法学(A0301),,,应届毕业生,中共党员,深圳
深圳市深汕特别合作区鲘门办事处,6020098,城乡建设和土地整备办公室二级主任科员以下,60200982559002 ,从事城乡建设和土地整备工作,综合管理类职位,1,研究生,硕士以上,城乡规划学(A0833),,,应届毕业生,,深圳
深圳市深汕特别合作区赤石办事处,6020099,党政综合办公室一级科员,60200992559001 ,从事党建、综合文稿撰写、文秘等相关工作,综合管理类职位,1,本科以上,学士以上,不限,不限,,否,中共党员,深圳
深圳市深汕特别合作区赤石办事处,6020099,经济发展办公室一级科员,60200992559002 ,从事会计及财务管理工作,综合管理类职位,1,本科以上,学士以上,"财政学（含∶税收学）(A020203),审计硕士（专业硕士）(A020218),会计学(A120201),会计硕士（专业硕士）(A120206)","财政学类(B0202),会计学(B120203),财务管理(B120204),审计学(B120207)",,否,,深圳
珠海市香洲区,6030001,拱北街道办事处一级科员,60300012559001 ,从事社区建设、公共服务工作,综合管理类职位,1,本科以上,学士以上,"社会学(A0303),心理学(A0402),旅游管理(A120203)","社会学类(B0303),心理学类(B0712),旅游管理类(B1209)",,2025届高校毕业生,,珠海
珠海市香洲区,6030001,吉大街道办事处一级科员,60300012559002 ,从事内部审计、会计等工作,综合管理类职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),审计学(B120207)",,2025届高校毕业生,,珠海
珠海市香洲区,6030001,吉大街道办事处1名、狮山街道办事处1名、翠香街道办事处1名、前山街道办事处1名一级科员,60300012559003 ,从事经济、产业及区域发展研究、管理等工作,综合管理类职位,4,本科以上,学士以上,"应用经济学(A0202),统计学(A0714)","经济学类(B0201),财政学类(B0202),金融学类(B0203),统计学类(B0711)",,2025届高校毕业生,,珠海
珠海市香洲区,6030001,翠香街道办事处一级科员,60300012559004 ,从事安全生产、应急管理等工作,综合管理类职位,1,本科以上,学士以上,"安全科学与工程(A0837),安全工程硕士（专业硕士）(A084202)","防灾减灾科学与工程(B070803),给排水科学与工程(B081103),安全工程(B083001),应急技术与管理(B083002),消防工程(B083102),安全防范工程(B083104),抢险救援指挥与技术(B083106),火灾勘查(B083107),应急管理(B120111)",,2025届高校毕业生,,珠海
珠海市香洲区,6030001,湾仔街道办事处一级科员,60300012559005 ,从事城乡规划管理、工程建设等工作,综合管理类职位,1,本科以上,学士以上,"城市规划与设计(含∶风景园林规划与设计)(A081303),岩土工程(A081401),结构工程(A081402),城乡规划学(A0833),土木工程硕士（专业硕士）(A084401),工程管理硕士（专业硕士）(A120102)","城乡规划(B081002),土木工程(B081101),工程管理(B120103)",,2025届高校毕业生,,珠海
珠海市香洲区,6030001,南屏镇人民政府一级行政执法员,60300012560001 ,从事基层综合行政执法工作,行政执法类职位,1,大专以上,不限,不限,不限,不限,否,面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,珠海
珠海市香洲区,6030001,拱北街道办事处一级行政执法员,60300012560002 ,从事基层综合行政执法工作,行政执法类职位,1,本科以上,学士以上,"应用统计硕士（专业硕士）(A020213),数学(A0701),统计学(A0714),机械工程(A0802),机械(A0846)","数学类(B0701),统计学类(B0711),机械类(B0802),工业工程类(B1207)",,2025届高校毕业生,,珠海
珠海市香洲区,6030001,梅华街道办事处一级行政执法员,60300012560003 ,从事基层综合行政执法、综治信访维稳等工作,行政执法类职位,1,本科以上,学士以上,"社会学(A0303),心理学(A0402),公共管理(A1204)","社会学类(B0303),心理学类(B0712),公共管理类(B1204)",,2025届高校毕业生,,珠海
珠海市香洲区,6030001,香湾街道办事处1名、前山街道办事处1名、凤山街道办事处1名一级行政执法员,60300012560004 ,从事基层综合行政执法工作,行政执法类职位,3,本科以上,学士以上,法学(A0301),法学类(B0301),,否,通过法律职业资格考试,珠海
珠海市金湾区,6030002,三灶镇人民政府一级科员,60300022559001 ,从事农业农村相关工作,综合管理类职位,1,本科以上,学士以上,"农业工程(A0828),农业工程与信息技术(A0907),农业管理(A0908),农村发展(A0909),农林经济管理(A1203)","农业工程类(B0824),农业资源与环境(B090201),农业经济管理类(B1203)",,应届毕业生,,珠海
珠海市金湾区,6030002,红旗镇人民政府一级科员,60300022559002 ,从事乡镇经济发展相关工作,综合管理类职位,1,本科以上,学士以上,"应用经济学(A0202),工商管理(A1202),农业经济管理(A120301)","经济学类(B0201),农业经济管理类(B1203),旅游管理类(B1209)",,2025届高校毕业生,,珠海
珠海市金湾区,6030002,南水镇人民政府一级科员,60300022559003 ,从事工程项目管理等工作,综合管理类职位,2,本科以上,学士以上,"土木工程(A0814),土木工程硕士（专业硕士）(A084401),市政工程硕士（专业硕士）(A084405)",土木工程(B081101),,2025届高校毕业生,,珠海
珠海市金湾区,6030002,南水镇人民政府一级科员,60300022559004 ,从事企业服务等工作,综合管理类职位,1,本科以上,学士以上,"电子科学与技术(A0809),信息与通信工程(A0810),计算机科学与技术(A0812),软件工程(A0835),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005)","电子信息类(B0807),计算机类(B0809)",,否,,珠海
珠海市金湾区,6030002,南水镇人民政府1名、平沙镇人民政府1名一级科员,60300022559005 ,从事综合文秘、宣传等工作,综合管理类职位,2,本科以上,学士以上,"中国语言文学(A0501),新闻传播学(A0503),设计学(A1305)","中国语言文学类(B0501),新闻传播学类(B0503),数字媒体艺术(B130508),新媒体艺术(B130510)",,否,,珠海
珠海市金湾区,6030002,平沙镇人民政府一级科员,60300022559006 ,从事经济发展、旅游产业服务等工作,综合管理类职位,1,本科以上,学士以上,"应用经济学(A0202),会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),旅游管理(A120203),会计硕士（专业硕士）(A120206),旅游管理硕士（专业硕士）(A120207)","经济学类(B0201),财政学类(B0202),市场营销(B120202),会计学(B120203),财务管理(B120204),旅游管理类(B1209)",,2025届高校毕业生,男性;企业管理（A120202），不包含人力资源管理,珠海
珠海市金湾区,6030002,平沙镇人民政府一级科员,60300022559007 ,从事农业生产发展、乡村建设和乡村振兴等相关工作,综合管理类职位,2,本科以上,学士以上,"农业工程(A0828),作物学(A0901),农业资源与环境(A0903),农业工程与信息技术(A0907),农业管理(A0908),农村发展(A0909),水产(A0913)","农业工程类(B0824),农学(B090101),设施农业科学与工程(B090106),应用生物科学(B090109),农业资源与环境(B090201),水产类(B0906)",,否,,珠海
珠海市金湾区,6030002,平沙镇人民政府一级科员,60300022559008 ,从事经济发展、旅游产业服务等工作,综合管理类职位,1,本科以上,学士以上,"应用经济学(A0202),会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),旅游管理(A120203),会计硕士（专业硕士）(A120206),旅游管理硕士（专业硕士）(A120207)","经济学类(B0201),财政学类(B0202),市场营销(B120202),会计学(B120203),财务管理(B120204),旅游管理类(B1209)",,2025届高校毕业生,女性;企业管理（A120202），不包含人力资源管理,珠海
珠海市金湾区,6030002,平沙镇人民政府一级科员,60300022559009 ,从事工程管理、规划建设等工作,综合管理类职位,1,本科以上,学士以上,"建筑学(A0813),土木工程(A0814),城乡规划学(A0833),风景园林学(A0834),土木工程硕士（专业硕士）(A084401),市政工程硕士（专业硕士）(A084405),工程管理硕士（专业硕士）(A120102)","建筑类(B0810),土木工程(B081101),工程管理(B120103)",,否,,珠海
珠海市金湾区,6030002,三灶镇人民政府一级行政执法员,60300022560001 ,从事行政执法相关工作,行政执法类职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,男性;通过法律职业资格考试,珠海
珠海市金湾区,6030002,三灶镇人民政府一级行政执法员,60300022560002 ,从事行政执法相关工作,行政执法类职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,女性;通过法律职业资格考试,珠海
珠海市金湾区,6030002,三灶镇人民政府一级行政执法员,60300022560003 ,从事行政执法相关工作,行政执法类职位,1,本科以上,学士以上,"城市规划与设计(含∶风景园林规划与设计)(A081303),建筑学硕士（专业硕士）(A081305),岩土工程(A081401),结构工程(A081402),供热、供燃气、通风及空调工程(A081403),测绘科学与技术(A0816),城乡规划学(A0833),测绘工程硕士（专业硕士）(A084204),土木工程硕士（专业硕士）(A084401),土地资源管理(A120405)","建筑学(B081001),城乡规划(B081002),城市设计(B081006),土木工程(B081101),建筑环境与能源应用工程(B081102),测绘工程(B081301),土地资源管理(B120404),城市管理(B120405),自然资源登记与管理(B120417)",,否,,珠海
珠海市金湾区,6030002,三灶镇人民政府一级行政执法员,60300022560004 ,从事行政执法相关工作,行政执法类职位,1,本科以上,学士以上,"公安学(A0306),安全科学与工程(A0837),公安技术(A0838),安全工程硕士（专业硕士）(A084202),社会保障(A120404)","公安学类(B0306),安全科学与工程类(B0830),公安技术类(B0831),劳动与社会保障(B120403)",,否,,珠海
珠海市金湾区,6030002,红旗镇人民政府一级行政执法员,60300022560005 ,从事行政执法类工作,行政执法类职位,2,本科以上,学士以上,"地理学(A0705),信号与信息处理(A081002),建筑学(A0813),城乡规划学(A0833),风景园林学(A0834)","地理科学类(B0705),电子信息类(B0807),建筑类(B0810),农业资源与环境(B090201)",,否,,珠海
珠海市金湾区,6030002,红旗镇人民政府一级行政执法员,60300022560006 ,从事基层行政执法工作,行政执法类职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,通过法律职业资格考试,珠海
珠海市金湾区,6030002,红旗镇人民政府一级行政执法员,60300022560007 ,从事基层行政执法工作,行政执法类职位,1,本科以上,学士以上,"农业工程(A0828),林学(A0912),旅游管理(A120203)","农业工程类(B0824),林学类(B0905),文化产业管理(B120210),公共事业管理(B120401),旅游管理类(B1209),非物质文化遗产保护(B130103)",,否,,珠海
珠海市金湾区,6030002,红旗镇人民政府一级行政执法员,60300022560008 ,从事基层行政执法工作,行政执法类职位,1,大专以上,不限,不限,不限,不限,否,面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,珠海
珠海市金湾区,6030002,南水镇人民政府一级行政执法员,60300022560009 ,从事综合行政执法等工作,行政执法类职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,男性;通过法律职业资格考试,珠海
珠海市金湾区,6030002,南水镇人民政府一级行政执法员,60300022560010 ,从事综合行政执法等工作,行政执法类职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,女性;通过法律职业资格考试,珠海
珠海市金湾区,6030002,平沙镇人民政府一级行政执法员,60300022560011 ,从事综合行政执法工作,行政执法类职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,,珠海
珠海市斗门区,6030003,莲洲镇人民政府一级科员,60300032559001 ,从事城市管理、规划建设、生态环境保护等工作,综合管理类职位,1,本科以上,学士以上,"自然地理学(A070501),人文地理学(A070502),环境科学与工程(A0830),环境工程硕士（专业硕士）(A084201)","自然地理与资源环境(B070502),环境科学与工程类(B0826)",,否,,珠海
珠海市斗门区,6030003,乾务镇人民政府一级科员,60300032559002 ,"从事安全生产、应急管理等工作;需一线执法及24小时值班,适合男性",综合管理类职位,1,本科以上,学士以上,"化学(A0703),机械工程(A0802),安全科学与工程(A0837),安全工程硕士（专业硕士）(A084202),机械工程硕士（专业硕士）(A084601),车辆工程硕士（专业硕士）(A084602)","化学类(B0703),机械类(B0802),安全科学与工程类(B0830)",,否,,珠海
珠海市斗门区,6030003,乾务镇人民政府1名、白藤街道办事处1名一级科员,60300032559003 ,从事工程项目组织和管理工作,综合管理类职位,2,本科以上,学士以上,"建筑学(A0813),土木工程(A0814),水利工程(A0815),土木工程硕士（专业硕士）(A084401),水利工程硕士（专业硕士）(A084402),市政工程硕士（专业硕士）(A084405),工程管理硕士（专业硕士）(A120102)","建筑类(B0810),土木类(B0811),水利类(B0812),工程管理(B120103)",,应届毕业生,,珠海
珠海市斗门区,6030003,乾务镇人民政府1名、白藤街道办事处1名一级科员,60300032559004 ,从事经济监测、管理和服务工作,综合管理类职位,2,本科以上,学士以上,"应用经济学(A0202),应用数学(A070104),统计学(A0714),会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),工商管理硕士（专业硕士）(A120205),会计硕士（专业硕士）(A120206)","经济学类(B0201),数学与应用数学(B070101),统计学类(B0711),工商管理(B120201),会计学(B120203),财务管理(B120204)",,2025届高校毕业生,,珠海
珠海市斗门区,6030003,乾务镇人民政府1名、莲洲镇人民政府1名一级科员,60300032559005 ,从事基层治理、新闻宣传等相关工作,综合管理类职位,2,本科以上,学士以上,"马克思主义哲学(A010101),马克思主义理论(A0305),新闻传播学(A0503),设计学(A1305)","马克思主义理论类(B0305),新闻传播学类(B0503),数字媒体艺术(B130508),新媒体艺术(B130510)",,否,,珠海
