广东省各级人民检察院2025年考试录用公务员职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广州市荔湾区人民检察院,4010004,业务部门四级检察官助理,40100042551001 ,从事辅助办案工作,检察院检察官助理职位,1,研究生,硕士,"宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107)",,,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市荔湾区人民检察院,4010004,业务部门四级检察官助理,40100042551002 ,从事辅助办案工作,检察院检察官助理职位,1,研究生,硕士,"宪法学与行政法学(A030103),刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107)",,,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市荔湾区人民检察院,4010004,业务部门五级检察官助理,40100042551003 ,从事辅助办案工作,检察院检察官助理职位,2,本科,学士,,"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市荔湾区人民检察院,4010004,业务部门五级检察官助理,40100042551004 ,从事辅助办案工作,检察院检察官助理职位,2,本科,学士,,"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市荔湾区人民检察院,4010004,政治部一级科员,40100042552001 ,从事组织人事、党建、综合材料等工作,检察院司法行政职位,1,本科,学士,,"马克思主义理论类(B0305),汉语言文学(B050101),新闻学(B050301)",,否,2025届高校毕业生,男性;中共党员,广州
广州市荔湾区人民检察院,4010004,政治部一级科员,40100042552002 ,从事组织人事、党建、综合材料等工作,检察院司法行政职位,1,本科,学士,,"马克思主义理论类(B0305),汉语言文学(B050101),新闻学(B050301)",,否,2025届高校毕业生,女性;中共党员,广州
广州市荔湾区人民检察院,4010004,办公室（司法警察大队）一级科员,40100042552003 ,从事司法行政工作,检察院司法行政职位,1,本科,学士,,"马克思主义理论类(B0305),新闻学(B050301)",,否,2025届高校毕业生,,广州
广州市荔湾区人民检察院,4010004,办公室（司法警察大队）一级科员,40100042552004 ,从事档案管理、司法行政等工作,检察院司法行政职位,1,本科,学士,,"档案学(B120502),信息资源管理(B120503)",,否,2025届高校毕业生,中共党员,广州
广州市天河区人民检察院,4010005,四级检察官助理,40100052551001 ,从事辅助办案工作,检察院检察官助理职位,1,研究生,硕士,"刑法学(A030104),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,否,通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市天河区人民检察院,4010005,五级检察官助理,40100052551002 ,从事辅助办案工作,检察院检察官助理职位,1,本科,学士,,"法学(B030101),知识产权(B030102)",,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
