附件1,,,,,,,,,,,,,,,
广东省县级以上机关2025年考试录用公务员职位表（不含公安、法检、监狱、戒毒系统）,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广东省归国华侨联合会,1990032,办公室四级主任科员以下,19900322541001 ,从事机关财务、资产管理、内控、审计、行政管理等工作,综合管理类职位,1,本科,学士,,"会计学(B120203),财务管理(B120204),审计学(B120207)",,是,否,,广州
中共广东省委全面深化改革委员会办公室,1990037,信息宣传处一级主任科员以下,19900372541001 ,从事文稿材料撰写、新闻宣传、信息编发等工作,综合管理类职位,1,研究生,硕士以上,"政治学(A0302),社会学(A0303),中国语言文学(A0501),新闻传播学(A0503)",,,是,否,中共党员,广州
中共广东省委党校（广东行政学院）,1990040,一级主任科员以下,19900402541001 ,从事材料写作、行政管理、教育培训等综合事务工作,综合管理类职位,1,研究生,硕士以上,"马克思主义哲学(A010101),中国哲学(A010102),政治学(A0302),社会学(A0303),马克思主义理论(A0305),教育学原理(A040101),高等教育学(A040106),中国史(A060106),世界史(A060107)",,,是,否,中共党员,广州
中共广东省委党校（广东行政学院）,1990040,一级主任科员以下,19900402541002 ,从事材料写作、行政管理、教育培训等综合事务工作,综合管理类职位,1,研究生,硕士以上,"政治经济学(A020101),世界经济(A020105),区域经济学(A020202),产业经济学(A020205),劳动经济学(A020207),法学理论(A030101),宪法学与行政法学(A030103)",,,是,否,中共党员,广州
广东省人民政府办公厅,1990042,广东省人民政府驻北京办事处一级科员,19900422541001 ,从事办公室文秘行政或计算机系统管理（工作地点：北京）工作,综合管理类职位,1,本科,学士,,计算机科学与技术(B080901),,是,否,需开展心理素质测评,广州
广东省发展和改革委员会,1990044,机关二级主任科员以下,19900442541001 ,从事规划编制、项目建设和政策研究工作,综合管理类职位,1,研究生,硕士以上,"行政管理(A120401),社会医学与卫生事业管理(A120402),教育经济与管理(A120403),社会保障(A120404),土地资源管理(A120405)",,,是,否,,广州
广东省教育厅,1990046,机关一级主任科员以下,19900462541001 ,从事综合文稿工作,综合管理类职位,1,研究生,硕士以上,"马克思主义哲学(A010101),政治学理论(A030201),中共党史（含：党的学说与党的建设）(A030204),马克思主义理论(A0305)",,,是,否,中共党员,广州
广东省教育厅,1990046,机关一级主任科员以下,19900462541002 ,从事教师队伍建设工作,综合管理类职位,1,研究生,硕士以上,"法学(A0301),教育学(A0401),公共管理(A1204)",,,是,否,中共党员,广州
广东省教育厅,1990046,机关一级主任科员以下,19900462541003 ,从事综合行政管理及人事相关工作,综合管理类职位,1,研究生,硕士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),政治学(A0302),数学(A0701),统计学(A0714),公共管理(A1204),图书情报与档案管理(A1205)",,,是,否,中共党员,广州
广东省教育厅,1990046,机关一级主任科员以下,19900462541004 ,从事教育督政、督学、评估监测相关工作,综合管理类职位,1,研究生,硕士以上,"哲学(A01),经济学(A02),法学(A03),历史学(A06),数学(A0701),统计学(A0714),管理学(A12)",,,是,否,中共党员,广州
广东省教育厅,1990046,机关一级主任科员以下,19900462541005 ,从事审计工作,综合管理类职位,1,研究生,硕士以上,审计硕士（专业硕士）(A020218),,,是,否,,广州
广东省教育厅,1990046,机关一级主任科员以下,19900462541006 ,从事校外教育培训监管工作,综合管理类职位,1,本科以上,学士以上,"法学(A0301),政治学(A0302),历史学(A06),公共管理(A1204)","法学类(B0301),政治学类(B0302),历史学(B06),公共管理类(B1204)",,是,否,,广州
广东省教育厅,1990046,省教育考试院一级主任科员以下,19900462541007 ,从事数学等相关学科教育招生考试命题及组织管理（每年累计约百天封闭入闱）工作,综合管理类职位,1,研究生,硕士以上,数学(A0701),,,是,否,中共党员,广州
广东省教育厅,1990046,省教育考试院一级主任科员以下,19900462541008 ,从事历史等相关学科教育招生考试命题及组织管理（每年累计约百天封闭入闱）工作,综合管理类职位,1,研究生,硕士以上,历史学(A06),,,是,否,中共党员,广州
广东省教育厅,1990046,省教育装备中心一级主任科员以下,19900462541009 ,从事基础教育装备管理、实验室安全管理等工作,综合管理类职位,1,研究生,硕士以上,"物理学(A0702),化学(A0703),生物学(A0710)",,,是,否,,广州
广东省教育厅,1990046,省教育装备中心一级主任科员以下,19900462541010 ,从事财务会计类等工作,综合管理类职位,1,研究生,硕士以上,"会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),会计硕士（专业硕士）(A120206)",,,是,否,,广州
广东省民族宗教事务委员会,1990048,宗教业务处室一级主任科员以下,19900482541001 ,从事宗教事务管理工作，指导宗教团体活动场所依法开展工作,综合管理类职位,1,研究生,硕士,宗教学(A010107),,,是,否,,广州
广东省民族宗教事务委员会,1990048,民族业务处室一级主任科员以下,19900482541002 ,从事推进中华民族共同体意识，依法管理民族事务工作,综合管理类职位,1,研究生,硕士,民族学(A030401),,,是,否,,广州
广东省民政厅,1990049,机关一级主任科员以下,19900492541001 ,从事信息综合工作,综合管理类职位,1,本科,学士,,"信息安全(B080904),数据科学与大数据技术(B080910),保密技术(B080914),保密管理(B120106)",,是,否,中共党员,广州
广东省民政厅,1990049,机关一级主任科员以下,19900492541002 ,从事行政区划、地名管理工作,综合管理类职位,1,本科以上,学士以上,行政管理(A120401),"人文地理与城乡规划(B070503),行政管理(B120402)",,是,否,,广州
广东省民政厅,1990049,机关一级主任科员以下,19900492541003 ,从事行政法等法律法规工作,综合管理类职位,3,本科以上,学士以上,"法学理论(A030101),法律史(A030102),宪法学与行政法学(A030103),民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),法律（非法学）(A030111)",法学(B030101),,是,否,通过法律职业资格考试,广州
广东省民政厅,1990049,机关一级主任科员以下,19900492541004 ,从事材料综合有关工作,综合管理类职位,3,本科以上,学士以上,"哲学(A01),中国语言文学(A0501)","哲学(B01),汉语言文学(B050101),汉语言(B050102),人力资源管理(B120206)",,是,否,,广州
广东省民政厅,1990049,机关一级主任科员以下,19900492541005 ,从事公共管理类工作,综合管理类职位,1,本科以上,学士以上,"行政管理(A120401),社会保障(A120404),公共管理硕士（专业硕士）(A120406)","公共事业管理(B120401),行政管理(B120402),劳动与社会保障(B120403)",,是,否,,广州
广东省民政厅,1990049,机关一级主任科员以下,19900492541006 ,从事财务会计审计类工作,综合管理类职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201)","会计学(B120203),财务管理(B120204),审计学(B120207)",,是,否,中共党员,广州
