广东省各级公安机关2025年考试录用公务员职位表,,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否开展心理素质测评,是否限应届毕业生报考,其他要求,考区
广州市公安局越秀区分局,2010002,基层派出所二级警长以下,20100022546008 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,4,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),系统科学(A0711),统计学(A0714),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,应届毕业生,男性,广州
广州市公安局越秀区分局,2010002,基层派出所二级警长以下,20100022546009 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,4,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),系统科学(A0711),统计学(A0714),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,应届毕业生,男性,广州
广州市公安局越秀区分局,2010002,基层派出所二级警长以下,20100022546010 ,金融财会类职位;从事公安财务、审计、公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,"财政学（含∶税收学）(A020203),审计硕士（专业硕士）(A020218),经济法学(A030107),会计学(A120201),会计硕士（专业硕士）(A120206)","财政学类(B0202),会计学(B120203),财务管理(B120204),审计学(B120207)",,否,是,应届毕业生,,广州
广州市公安局越秀区分局,2010002,基层派出所二级警长以下,20100022546011 ,从事公安文秘、调研、材料综合、宣传、公安执法勤务等工作,公安机关执法勤务职位,3,本科以上,学士以上,"马克思主义哲学(A010101),法学(A0301),中国语言文学(A0501)","哲学(B01),法学类(B0301),中国语言文学类(B0501)",,否,是,应届毕业生,男性,广州
广州市公安局越秀区分局,2010002,基层派出所二级警长以下,20100022546012 ,从事公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"法学(A0301),公安学(A0306),公安技术(A0838)","法学类(B0301),公安学类(B0306),公安技术类(B0831)",,否,是,否,男性,广州
广州市公安局越秀区分局,2010002,基层派出所二级警长以下,20100022546013 ,从事公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"法学(A0301),公安学(A0306),公安技术(A0838)","法学类(B0301),公安学类(B0306),公安技术类(B0831)",,否,是,否,男性,广州
广州市公安局越秀区分局,2010002,基层派出所二级警长以下,20100022546014 ,从事公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"法学(A0301),政治学(A0302)","法学类(B0301),政治学类(B0302)",,否,是,应届毕业生,男性,广州
广州市公安局越秀区分局,2010002,基层派出所二级警长以下,20100022546015 ,从事公安执法勤务等工作,公安机关执法勤务职位,3,本科以上,学士以上,不限,不限,,否,是,2025届高校毕业生,男性,广州
广州市公安局越秀区分局,2010002,看守所二级警长以下,20100022546016 ,从事监管场所管理、公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,不限,不限,,否,是,应届毕业生,,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546001 ,从事公安执法勤务等工作,公安机关执法勤务职位,3,本科以上,学士以上,"法学(A0301),公安学(A0306),公安技术(A0838)","法学类(B0301),公安学类(B0306),公安技术类(B0831)",,否,是,否,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546002 ,外语翻译类职位;从事外语翻译及公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,"英语语言文学(A050201),阿拉伯语语言文学(A050208),英语笔译硕士（专业硕士）(A050212),英语口译硕士（专业硕士）(A050213)","英语(B050201),阿拉伯语(B050206),商务英语(B050262)",,否,是,否,,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546003 ,金融财会类职位;从事公安财务、审计、公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"财政学（含∶税收学）(A020203),审计硕士（专业硕士）(A020218),会计学(A120201),会计硕士（专业硕士）(A120206)","财政学类(B0202),会计学(B120203),财务管理(B120204),审计学(B120207)",,否,是,否,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546004 ,从事公安法制、公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,06法律类,06法律类,,否,是,否,男性,广州
广州市公安局海珠区分局,2010003,巡特警大队二级警长以下,20100032546005 ,特警类职位;从事特警训练、运动康复、公安执法勤务等工作,公安机关执法勤务职位,1,本科以上,学士以上,体育学(A0403),"体育教育(B040201),运动训练(B040202),武术与民族传统体育(B040204),运动康复(B040206),体能训练(B040208)",,否,是,2025届高校毕业生,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546006 ,从事公安文秘、调研、材料综合、宣传、公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,"语言学及应用语言学(A050102),汉语言文字学(A050103),中国现当代文学(A050106),新闻学(A050301),新闻与传播硕士（专业硕士）(A050303)","汉语言文学(B050101),汉语言(B050102),应用语言学(B050106),秘书学(B050107),新闻传播学类(B0503)",,否,是,否,,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546007 ,从事公安基建管理、工程验收、后勤保障、公安执法勤务等工作,公安机关执法勤务职位,2,本科以上,学士以上,"建筑技术科学(A081304),建筑学硕士（专业硕士）(A081305),结构工程(A081402),测绘科学与技术(A0816),测绘工程硕士（专业硕士）(A084204),土木工程硕士（专业硕士）(A084401),管理科学与工程(A1201)","建筑学(B081001),土木工程(B081101),给排水科学与工程(B081103),智能建造(B081107),测绘工程(B081301),工程管理(B120103)",,否,是,否,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546008 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),统计学(A0714),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,2025届高校毕业生,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546009 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),统计学(A0714),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,2025届高校毕业生,男性,广州
广州市公安局海珠区分局,2010003,基层派出所二级警长以下,20100032546010 ,信息通信类职位;从事公安信息化建设、数据分析、公安执法勤务等工作,公安机关执法勤务职位,5,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701),统计学(A0714),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012)","经济统计学(B020102),数学类(B0701),统计学类(B0711),电子信息工程(B080701),通信工程(B080703),信息工程(B080706),电子信息科学与技术(B080714),人工智能(B080717),计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904),智能科学与技术(B080907),电子与计算机工程(B080909),数据科学与大数据技术(B080910),网络空间安全(B080911)",,否,是,2025届高校毕业生,男性,广州
